Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39099907,The Last of the Stanfields,Marc Levy,"Levy, Marc",Daniel Wasserman,"=""1503959066""","=""9781503959064""",0,3.99,Amazon Crossing,Kindle Edition,362,2019,2017,,2020/07/05,to-read,to-read (#101),to-read,,,,0,0
38343448,The Infinite Pieces of Us,Rebekah Crane,"Crane, Rebekah",,"=""1503958949""","=""9781503958944""",0,3.87,Skyscape,Kindle Edition,276,2018,2018,,2020/07/05,to-read,to-read (#100),to-read,,,,0,0
36584870,"The Rule of One (The Rule of One, #1)",Ashley Saunders,"Saunders, Ashley",Leslie Saunders,"=""1503954943""","=""9781503954946""",0,3.74,Skyscape,Kindle Edition,271,2018,2018,,2020/07/05,to-read,to-read (#99),to-read,,,,0,0
39295198,Hotel Sacher,Rodica Doehnert,"Doehnert, Rodica",Sander Hoving,"=""9022582736""","=""9789022582732""",0,3.47,De Boekerij,Paperback,304,2018,2016,,2020/07/05,to-read,to-read (#98),to-read,,,,0,0
37647551,"The Tenth Island: Finding Joy, Beauty, and Unexpected Love in the Azores",Diana Marcum,"Marcum, Diana",,"=""1503941329""","=""9781503941328""",0,3.63,Little A,Hardcover,252,2018,2018,,2020/07/05,to-read,to-read (#97),to-read,,,,0,0
36642148,The Things We Don't Say,Ella Carey,"Carey, Ella",,"=""""","=""""",0,3.76,Lake Union Publishing,Kindle Edition,303,2018,2018,,2020/07/05,to-read,to-read (#96),to-read,,,,0,0
35997022,An American Princess: The Many Lives of Allene Tew,Annejet van der Zijl,"Zijl, Annejet van der",Michele Hutchison,"=""1542099749""","=""9781542099745""",0,3.73,Amazon Crossing,Kindle Edition,226,2018,2015,,2020/07/05,to-read,to-read (#94),to-read,,,,0,0
34663059,"Hell's Princess: The Mystery of Belle Gunness, Butcher of Men",Harold Schechter,"Schechter, Harold",,"=""1477808949""","=""9781477808948""",0,3.47,Little A,Paperback,333,2018,2018,,2020/07/05,to-read,to-read (#93),to-read,,,,0,0
35825171,Neighborly,Ellie Monago,"Monago, Ellie",Amy McFadden Cristina Panfilio,"=""1543656803""","=""9781543656800""",0,3.58,Brilliance Audio,MP3 CD,,2018,2018,,2020/07/05,to-read,to-read (#92),to-read,,,,0,0
35906805,Not Perfect,Elizabeth LaBan,"LaBan, Elizabeth",,"=""1477809228""","=""9781477809228""",0,3.58,Lake Union Publishing,Hardcover,291,2018,2018,,2020/07/05,to-read,to-read (#91),to-read,,,,0,0
34663135,A River in Darkness:  One Man's Escape from North Korea,Masaji Ishikawa,"Ishikawa, Masaji","Risa Kobayashi, Martin Brown","=""1542047196""","=""9781542047197""",0,4.28,Amazon Crossing,Paperback,159,2018,2000,,2020/07/05,to-read,to-read (#90),to-read,,,,0,0
35400729,The Unkillable Kitty O'Kane,Colin Falconer,"Falconer, Colin",,"=""1542048974""","=""9781542048972""",0,3.87,Lake Union Publishing,Paperback,333,2017,2017,,2020/07/05,to-read,to-read (#89),to-read,,,,0,0
34321791,A Tangled Mercy,Joy Jordan-Lake,"Jordan-Lake, Joy",,"=""1477825738""","=""9781477825730""",0,4.09,Lake Union Publishing,Kindle Edition,464,2017,2017,,2020/07/05,to-read,to-read (#88),to-read,,,,0,0
34312042,A Beautiful Work In Progress,Mirna Valerio,"Valerio, Mirna",,"=""1503998401""","=""9781503998407""",0,3.76,Grand Harbor Press,Kindle Edition,336,2017,2017,,2020/07/05,to-read,to-read (#87),to-read,,,,0,0
33396868,The Sky Below,Scott Parazynski,"Parazynski, Scott",Susy Flory,"=""1503991687""","=""9781503991682""",0,3.92,Little A,Kindle Edition,286,2017,2017,,2020/07/05,to-read,to-read (#85),to-read,,,,0,0
